photo_id,filename,capture_date,file_type,file_size_mb,camera_model,lens_model,focal_length,aperture,shutter_speed,iso,location,time_of_day,folder_path,collections,keywords,color_label,star_rating,flag_status,has_edits,edit_count,last_modified_date,shoot_id,genre
photo_000001,IMG_0001.ARW,2022-01-04 03:28:05,ARW,32.2,Sony A7 IV,24-120mm f/4,24,5.6,0.002,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 03:28:05.000000,0,street
photo_000002,IMG_0002.ARW,2022-01-04 02:01:05,ARW,38.69,Sony A7 IV,24-120mm f/4,35,5.6,0.003125,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 02:01:05.000000,0,street
photo_000003,IMG_0003.ARW,2022-01-04 00:48:43,ARW,18.51,Sony A7 IV,24-120mm f/4,35,5.6,0.004,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,1,unflagged,False,0,2022-01-04 00:48:43.000000,0,street
photo_000004,IMG_0004.ARW,2022-01-04 01:30:33,ARW,39.66,Sony A7 IV,24-120mm f/4,24,4.0,0.008,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,True,9,2022-01-15 13:43:04.488467,0,street
photo_000005,IMG_0005.ARW,2022-01-04 03:40:52,ARW,29.78,Sony A7 IV,24-120mm f/4,35,5.6,0.008,1600,"Austin, TX",night,/2022/2022-01-04/,[],"[""city""]",,0,unflagged,False,0,2022-01-04 03:40:52.000000,0,street
photo_000006,IMG_0006.JPG,2022-01-04 02:42:06,JPG,6.67,Sony A7 IV,24-120mm f/4,24,4.0,0.003125,800,"Austin, TX",night,/2022/2022-01-04/,[],[],yellow,0,unflagged,False,0,2022-01-04 02:42:06.000000,0,street
photo_000007,IMG_0007.ARW,2022-01-04 02:42:25,ARW,44.1,Sony A7 IV,24-120mm f/4,50,4.0,0.008,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,2,unflagged,False,0,2022-01-04 02:42:25.000000,0,street
photo_000008,IMG_0008.ARW,2022-01-04 02:16:20,ARW,30.69,Sony A7 IV,24-120mm f/4,50,4.0,0.002,800,"Austin, TX",night,/2022/2022-01-04/,[],[],,0,unflagged,False,0,2022-01-04 02:16:20.000000,0,street
photo_000009,IMG_0009.ARW,2022-01-04 00:42:55,ARW,23.43,Sony A7 IV,24-120mm f/4,35,5.6,0.008,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],yellow,2,unflagged,True,5,2022-01-11 03:55:27.193393,0,street
photo_000010,IMG_0010.ARW,2022-01-04 02:39:48,ARW,31.08,Sony A7 IV,24-120mm f/4,24,8.0,0.003125,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,1,unflagged,True,10,2022-01-05 07:09:08.750041,0,street
photo_000011,IMG_0011.JPG,2022-01-04 02:35:08,JPG,6.75,Sony A7 IV,24-120mm f/4,35,8.0,0.008,1600,"Austin, TX",night,/2022/2022-01-04/,[],[],,3,picked,False,0,2022-01-04 02:35:08.000000,0,street
